TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
1,2023-11-05,Smart Watch,Wearables,South,Offline,1,2512.1,2512.1,Credit Card,1086
2,2023-10-14,Smart Watch,Wearables,East,Online,1,3380.08,3380.08,Net Banking,1183
3,2023-01-02,Backpack,Accessories,East,Online,1,4215.32,4215.32,Credit Card,1022
4,2023-04-10,Backpack,Accessories,West,Online,4,3589.45,14357.8,UPI,1049
5,2023-09-29,Headphones,Accessories,North,Online,5,1605.88,8029.4,Credit Card,1041
6,2023-04-06,Laptop,Electronics,East,Online,3,4954.28,14862.84,Net Banking,1141
7,2023-02-16,Laptop,Electronics,North,Offline,1,4212.93,4212.93,UPI,1236
8,2023-07-03,Headphones,Accessories,North,Offline,4,2268.17,9072.68,Net Banking,1274
9,2023-08-10,Smart Watch,Wearables,South,Offline,5,2930.77,14653.85,Net Banking,1066
10,2023-01-03,Office Chair,Furniture,East,Offline,2,3070.7,6141.4,UPI,1102
11,2023-04-13,Backpack,Accessories,West,Offline,4,4055.9,16223.6,Cash,1277
12,2023-11-13,Headphones,Accessories,South,Online,1,2222.42,2222.42,Cash,1257
13,2023-10-19,Headphones,Accessories,East,Offline,3,2158.94,6476.82,Cash,1172
14,2023-07-02,Office Chair,Furniture,West,Offline,3,3910.87,11732.61,UPI,1179
15,2023-12-13,Laptop,Electronics,East,Online,2,3051.38,6102.76,UPI,1192
16,2023-05-15,Office Chair,Furniture,West,Online,5,4552.92,22764.6,Cash,1153
17,2023-07-05,Office Chair,Furniture,South,Online,4,3552.86,14211.44,Cash,1232
18,2023-07-18,Office Chair,Furniture,South,Offline,3,2174.09,6522.27,Net Banking,1129
19,2023-01-08,Backpack,Accessories,North,Offline,3,2823.45,8470.35,Net Banking,1295
20,2023-08-19,Backpack,Accessories,East,Online,2,1414.64,2829.28,Net Banking,1157
21,2023-02-01,Laptop,Electronics,South,Online,5,697.0,3485.0,Net Banking,1120
22,2023-12-11,Laptop,Electronics,North,Offline,5,855.0,4275.0,UPI,1164
23,2023-07-26,Smart Watch,Wearables,South,Online,3,2902.94,8708.82,Net Banking,1078
24,2023-01-18,Smartphone,Electronics,East,Offline,1,2572.33,2572.33,Credit Card,1248
25,2023-12-05,Headphones,Accessories,East,Offline,4,1047.26,4189.04,Cash,1299
26,2023-07-26,Laptop,Electronics,South,Offline,1,4651.21,4651.21,UPI,1277
27,2023-07-24,Smart Watch,Wearables,North,Offline,4,2697.99,10791.96,Cash,1001
28,2023-06-27,Smart Watch,Wearables,West,Online,1,765.12,765.12,Cash,1256
29,2023-01-16,Smartphone,Electronics,South,Offline,1,4348.4,4348.4,Cash,1002
30,2023-05-17,Headphones,Accessories,East,Offline,5,882.02,4410.1,Credit Card,1033
31,2023-08-30,Headphones,Accessories,North,Online,2,2126.27,4252.54,Net Banking,1116
32,2023-06-17,Laptop,Electronics,North,Offline,1,775.97,775.97,Credit Card,1089
33,2023-06-02,Smartphone,Electronics,West,Online,1,3759.68,3759.68,Net Banking,1253
34,2023-08-26,Smartphone,Electronics,North,Online,2,4750.11,9500.22,UPI,1051
35,2023-06-17,Smart Watch,Wearables,North,Online,4,1438.84,5755.36,Net Banking,1045
36,2023-11-19,Headphones,Accessories,East,Offline,3,4688.36,14065.08,Credit Card,1105
37,2023-02-04,Backpack,Accessories,South,Offline,5,3627.88,18139.4,Net Banking,1072
38,2023-01-07,Smart Watch,Wearables,West,Offline,2,2494.4,4988.8,Cash,1160
39,2023-11-29,Smart Watch,Wearables,East,Offline,3,2284.32,6852.96,UPI,1054
40,2023-12-01,Smartphone,Electronics,North,Online,5,2753.07,13765.35,Credit Card,1119
41,2023-10-30,Smart Watch,Wearables,South,Online,3,4297.51,12892.53,Net Banking,1123
42,2023-02-07,Laptop,Electronics,North,Online,5,3370.83,16854.15,UPI,1283
43,2023-01-20,Smart Watch,Wearables,North,Online,5,4261.01,21305.05,Credit Card,1172
44,2023-08-10,Office Chair,Furniture,North,Offline,1,4787.14,4787.14,Credit Card,1031
45,2023-07-18,Laptop,Electronics,East,Online,2,2366.83,4733.66,Credit Card,1047
46,2023-03-16,Backpack,Accessories,North,Offline,4,4893.53,19574.12,UPI,1108
47,2023-03-25,Office Chair,Furniture,West,Online,3,3830.21,11490.63,Net Banking,1104
48,2023-12-20,Smart Watch,Wearables,East,Online,3,2975.95,8927.85,Net Banking,1298
49,2023-08-15,Office Chair,Furniture,West,Offline,5,2595.64,12978.2,UPI,1261
50,2023-05-08,Smartphone,Electronics,West,Online,2,1362.23,2724.46,Net Banking,1010
51,2023-11-02,Smart Watch,Wearables,South,Offline,4,2476.89,9907.56,UPI,1137
52,2023-01-28,Headphones,Accessories,East,Offline,3,3263.63,9790.89,Cash,1151
53,2023-09-25,Smartphone,Electronics,South,Online,5,860.27,4301.35,Net Banking,1024
54,2023-06-22,Headphones,Accessories,West,Online,5,2246.68,11233.4,Credit Card,1156
55,2023-03-08,Laptop,Electronics,North,Online,2,1392.02,2784.04,Credit Card,1096
56,2023-05-28,Smart Watch,Wearables,East,Online,2,3937.37,7874.74,Cash,1123
57,2023-07-19,Backpack,Accessories,East,Offline,4,3684.5,14738.0,Credit Card,1132
58,2023-05-12,Smart Watch,Wearables,West,Offline,1,2450.7,2450.7,Cash,1180
59,2023-04-04,Smart Watch,Wearables,South,Offline,3,2949.96,8849.88,Cash,1045
60,2023-11-04,Smart Watch,Wearables,West,Online,1,2444.95,2444.95,Net Banking,1097
61,2023-02-10,Headphones,Accessories,North,Online,5,3551.12,17755.6,UPI,1066
62,2023-10-15,Laptop,Electronics,West,Offline,5,3522.55,17612.75,Cash,1231
63,2023-03-03,Smartphone,Electronics,East,Online,1,2156.4,2156.4,Net Banking,1297
64,2023-08-11,Smartphone,Electronics,East,Online,3,4676.94,14030.82,Net Banking,1046
65,2023-08-19,Laptop,Electronics,East,Online,2,1089.72,2179.44,Credit Card,1093
66,2023-04-18,Smartphone,Electronics,North,Online,2,4126.17,8252.34,Net Banking,1061
67,2023-10-29,Backpack,Accessories,West,Online,4,3335.61,13342.44,Cash,1155
68,2023-09-06,Smart Watch,Wearables,East,Offline,2,2332.47,4664.94,UPI,1285
69,2023-12-21,Smartphone,Electronics,East,Online,5,842.42,4212.1,UPI,1200
70,2023-07-06,Laptop,Electronics,South,Online,4,1884.31,7537.24,Credit Card,1215
71,2023-04-28,Laptop,Electronics,North,Offline,3,3464.6,10393.8,Credit Card,1204
72,2023-04-17,Smart Watch,Wearables,East,Online,3,4262.57,12787.71,Net Banking,1262
73,2023-03-24,Headphones,Accessories,South,Offline,4,4065.48,16261.92,Cash,1170
74,2023-12-28,Smart Watch,Wearables,North,Online,2,3623.67,7247.34,UPI,1091
75,2023-12-24,Office Chair,Furniture,South,Online,4,2598.81,10395.24,Cash,1076
76,2023-06-02,Headphones,Accessories,West,Online,4,3665.52,14662.08,UPI,1058
77,2023-08-17,Office Chair,Furniture,East,Offline,2,703.88,1407.76,Credit Card,1219
78,2023-07-16,Headphones,Accessories,West,Online,5,3917.52,19587.6,Net Banking,1283
79,2023-04-21,Laptop,Electronics,South,Offline,4,4580.17,18320.68,Cash,1085
80,2023-08-30,Backpack,Accessories,East,Offline,1,3325.85,3325.85,UPI,1076
81,2023-05-19,Smart Watch,Wearables,North,Offline,3,2639.54,7918.62,Net Banking,1024
82,2023-07-19,Headphones,Accessories,East,Offline,3,4799.51,14398.53,Credit Card,1230
83,2023-06-14,Smart Watch,Wearables,West,Online,3,4489.68,13469.04,UPI,1126
84,2023-08-16,Smartphone,Electronics,South,Online,4,630.61,2522.44,Cash,1075
85,2023-04-25,Laptop,Electronics,East,Online,4,2658.21,10632.84,Credit Card,1131
86,2023-06-08,Laptop,Electronics,North,Online,4,756.4,3025.6,Cash,1259
87,2023-05-24,Smart Watch,Wearables,East,Offline,1,2075.16,2075.16,Cash,1131
88,2023-10-10,Laptop,Electronics,West,Offline,4,3097.43,12389.72,Credit Card,1271
89,2023-02-17,Headphones,Accessories,North,Offline,3,1226.66,3679.98,UPI,1134
90,2023-06-22,Smart Watch,Wearables,South,Online,3,1937.98,5813.94,Net Banking,1019
91,2023-01-21,Smartphone,Electronics,West,Online,4,4544.16,18176.64,Net Banking,1297
92,2023-05-09,Backpack,Accessories,West,Offline,1,4650.63,4650.63,Credit Card,1113
93,2023-02-20,Headphones,Accessories,North,Online,3,4576.82,13730.46,Credit Card,1098
94,2023-04-24,Backpack,Accessories,West,Offline,2,4760.07,9520.14,Cash,1036
95,2023-03-28,Smart Watch,Wearables,West,Offline,3,4551.22,13653.66,Cash,1044
96,2023-09-01,Office Chair,Furniture,North,Online,1,2965.83,2965.83,Cash,1261
97,2023-06-07,Laptop,Electronics,North,Offline,1,3995.05,3995.05,Net Banking,1018
98,2023-08-22,Backpack,Accessories,South,Online,5,3888.3,19441.5,Cash,1110
99,2023-04-21,Laptop,Electronics,West,Online,4,1652.68,6610.72,UPI,1043
100,2023-07-16,Smartphone,Electronics,East,Offline,3,2042.35,6127.05,Credit Card,1200
101,2023-02-11,Smartphone,Electronics,East,Online,1,524.13,524.13,UPI,1221
102,2023-11-16,Backpack,Accessories,South,Offline,3,4650.34,13951.02,Net Banking,1140
103,2023-12-21,Headphones,Accessories,South,Offline,3,3591.0,10773.0,UPI,1128
104,2023-04-03,Laptop,Electronics,West,Offline,2,1694.62,3389.24,UPI,1065
105,2023-12-01,Backpack,Accessories,North,Offline,5,3323.73,16618.65,Cash,1244
106,2023-10-24,Smartphone,Electronics,South,Offline,4,2723.04,10892.16,Cash,1005
107,2023-12-23,Headphones,Accessories,East,Online,3,4578.24,13734.72,Cash,1077
108,2023-05-02,Smartphone,Electronics,North,Online,1,1099.47,1099.47,Net Banking,1078
109,2023-09-13,Smart Watch,Wearables,South,Offline,4,4578.12,18312.48,UPI,1151
110,2023-06-24,Backpack,Accessories,West,Online,1,3830.39,3830.39,UPI,1066
111,2023-07-30,Smartphone,Electronics,South,Online,1,1174.14,1174.14,Credit Card,1016
112,2023-11-06,Smart Watch,Wearables,South,Offline,5,2610.31,13051.55,Credit Card,1260
113,2023-01-02,Headphones,Accessories,West,Online,5,1476.56,7382.8,Net Banking,1073
114,2023-12-31,Backpack,Accessories,South,Offline,4,3258.32,13033.28,Credit Card,1247
115,2023-08-11,Headphones,Accessories,North,Online,4,3174.58,12698.32,UPI,1132
116,2023-02-25,Laptop,Electronics,South,Offline,5,2928.55,14642.75,Cash,1147
117,2023-10-21,Office Chair,Furniture,South,Offline,4,3174.28,12697.12,Net Banking,1270
118,2023-11-14,Headphones,Accessories,West,Offline,3,1691.25,5073.75,UPI,1246
119,2023-06-29,Laptop,Electronics,North,Offline,3,1703.76,5111.28,UPI,1139
